metric,value
auc(%),54.7284
threshold_rfmid_dr,0.381923
threshold_used,0.486712
threshold_type,youden
sensitivity,0.518519
specificity,0.591111
precision,0.378378
recall,0.518519
f1,0.437500
accuracy,0.567568
balanced_accuracy,0.554815
tp,56
tn,133
fp,92
fn,52
f1max,0.494118
f1max_threshold,0.362164
f1max_precision,0.331230
f1max_recall,0.972222
