epoch,train_loss,train_bal_acc,train_sens,train_spec,val_loss,val_bal_acc,val_sens,val_spec,val_auc,val_sens_Disease_Risk,val_spec_Disease_Risk,val_sens_DR,val_spec_DR,val_sens_ARMD,val_spec_ARMD,val_sens_MH,val_spec_MH,val_sens_DN,val_spec_DN,val_sens_MYA,val_spec_MYA,val_sens_BRVO,val_spec_BRVO,val_sens_TSLN,val_spec_TSLN,val_sens_ERM,val_spec_ERM,val_sens_LS,val_spec_LS,val_sens_MS,val_spec_MS,val_sens_CSR,val_spec_CSR,val_sens_ODC,val_spec_ODC,val_sens_CRVO,val_spec_CRVO,val_sens_TV,val_spec_TV,val_sens_AH,val_spec_AH,val_sens_ODP,val_spec_ODP,val_sens_ODE,val_spec_ODE,val_sens_ST,val_spec_ST,val_sens_AION,val_spec_AION,val_sens_PT,val_spec_PT,val_sens_RT,val_spec_RT,val_sens_RS,val_spec_RS,val_sens_CRS,val_spec_CRS,val_sens_EDN,val_spec_EDN,val_sens_RPEC,val_spec_RPEC,val_sens_MHL,val_spec_MHL,val_sens_RP,val_spec_RP,val_sens_OTHER,val_spec_OTHER
10,1.006502,0.739019,0.741917,0.736121,1.109655,0.735924,0.751252,0.720597,0.786671,0.739130,0.947761,0.803030,0.751969,0.868421,0.691030,0.892157,0.698885,0.478261,0.626263,1.000000,0.803630,0.956522,0.614263,0.861538,0.742609,0.285714,0.676145,0.764706,0.653291,0.400000,0.885039,0.818182,0.739269,0.597222,0.556338,1.000000,0.772152,0.000000,0.783699,1.000000,0.707547,0.500000,0.552117,0.857143,0.794830,0.000000,0.899371,0.800000,0.858268,1.000000,0.755486,0.833333,0.716088,0.928571,0.707668,0.727273,0.658188,1.000000,0.588976,0.666667,0.645110,0.666666,0.722135,0.500000,0.771160,0.285714,0.731826
11,0.959532,0.748177,0.736622,0.759733,1.108125,0.753303,0.755426,0.751181,0.793611,0.754941,0.962687,0.810606,0.777559,0.868421,0.705980,0.872549,0.726766,0.500000,0.631313,1.000000,0.828383,0.956522,0.604538,0.892308,0.766957,0.285714,0.786730,0.764706,0.662921,0.600000,0.818898,0.909091,0.747218,0.597222,0.573944,1.000000,0.783228,0.000000,0.852665,1.000000,0.740566,0.500000,0.578176,0.857143,0.785137,0.000000,0.966981,0.800000,0.888189,1.000000,0.782132,0.833333,0.747634,0.928571,0.753994,0.545454,0.737679,0.800000,0.681890,0.666667,0.619874,0.333333,0.817896,0.500000,0.807210,0.142857,0.780291
12,0.924841,0.756164,0.752230,0.760098,1.077297,0.747907,0.741235,0.754579,0.805631,0.737154,0.977612,0.765152,0.818898,0.868421,0.737542,0.862745,0.749071,0.434783,0.683502,1.000000,0.836634,0.913043,0.661264,0.876923,0.773913,0.142857,0.805687,0.764706,0.712681,0.800000,0.719685,0.818182,0.755167,0.625000,0.545775,1.000000,0.806962,0.500000,0.793103,1.000000,0.756289,0.576923,0.444625,0.857143,0.844911,0.000000,0.907233,0.600000,0.944882,1.000000,0.796238,0.833333,0.780757,0.928571,0.814696,0.636364,0.705882,1.000000,0.661417,0.500000,0.648265,0.666666,0.712716,0.500000,0.833856,0.095238,0.809370
13,0.889378,0.757040,0.748606,0.765473,1.089814,0.765324,0.764608,0.766041,0.809676,0.770751,0.962687,0.825758,0.763780,0.894737,0.735880,0.833333,0.771375,0.521739,0.624579,1.000000,0.872937,0.913043,0.651540,0.876923,0.801739,0.285714,0.830964,0.823529,0.696629,0.600000,0.822047,0.818182,0.756757,0.597222,0.625000,1.000000,0.791139,0.500000,0.813480,1.000000,0.787736,0.500000,0.534202,0.857143,0.830372,0.000000,0.944969,0.800000,0.911811,1.000000,0.821317,0.833333,0.777603,0.928571,0.825879,0.727273,0.685215,1.000000,0.666142,0.666667,0.619874,0.666666,0.758242,0.500000,0.860502,0.142857,0.798061
14,0.866425,0.776596,0.785953,0.767239,1.067174,0.768639,0.754591,0.782686,0.817767,0.750988,0.970149,0.795455,0.814961,0.868421,0.782392,0.872549,0.749071,0.434783,0.710438,1.000000,0.859736,0.913043,0.675851,0.876923,0.808696,0.285714,0.786730,0.764706,0.733547,0.800000,0.782677,0.818182,0.796502,0.680556,0.536972,1.000000,0.840190,0.000000,0.851097,1.000000,0.767296,0.500000,0.547231,0.857143,0.852989,0.000000,0.896226,0.800000,0.900787,1.000000,0.836991,0.833333,0.813880,0.857143,0.846645,0.636364,0.732909,1.000000,0.714961,0.500000,0.723975,0.333333,0.839874,0.500000,0.879310,0.238095,0.759289
15,0.807772,0.778935,0.765329,0.792540,1.080009,0.783872,0.757930,0.809815,0.825527,0.749012,0.970149,0.780303,0.826772,0.894737,0.785714,0.843137,0.795539,0.543478,0.666667,1.000000,0.871287,0.826087,0.711507,0.892308,0.833043,0.428571,0.812006,0.764706,0.760835,0.600000,0.894488,0.818182,0.796502,0.736111,0.524648,1.000000,0.875000,0.000000,0.909091,1.000000,0.858491,0.538462,0.583062,0.904762,0.867528,0.000000,0.944969,1.000000,0.896063,1.000000,0.815047,0.833333,0.851735,0.928571,0.856230,0.636364,0.736089,0.800000,0.840945,0.666667,0.714511,0.333333,0.839874,0.500000,0.891850,0.095238,0.836834
16,0.799529,0.790370,0.787068,0.793673,1.084689,0.784963,0.772955,0.796970,0.828653,0.774704,0.955224,0.833333,0.816929,0.868421,0.800664,0.843137,0.799257,0.500000,0.698653,1.000000,0.853135,0.913043,0.667747,0.876923,0.841739,0.285714,0.865719,0.882353,0.706260,0.600000,0.891339,0.909091,0.820350,0.708333,0.579225,1.000000,0.784810,0.500000,0.811912,1.000000,0.761006,0.576923,0.486971,0.904762,0.877221,0.000000,0.919811,0.800000,0.913386,1.000000,0.860502,0.833333,0.829653,0.928571,0.872204,0.454545,0.766296,1.000000,0.793701,0.666667,0.662461,0.333333,0.854003,0.500000,0.896552,0.095238,0.819063
17,0.763789,0.788181,0.770903,0.805460,1.080746,0.787931,0.766277,0.809584,0.833630,0.752964,0.970149,0.818182,0.820866,0.868421,0.835548,0.852941,0.793680,0.521739,0.683502,1.000000,0.887789,0.913043,0.679092,0.815385,0.855652,0.428571,0.851501,0.823529,0.751204,0.600000,0.880315,0.818182,0.818760,0.722222,0.593310,1.000000,0.848101,0.000000,0.854232,1.000000,0.833333,0.538462,0.605863,0.904762,0.873990,0.000000,0.932390,0.800000,0.896063,1.000000,0.822884,0.833333,0.843849,0.928571,0.846645,0.454545,0.796502,1.000000,0.811024,0.833333,0.700315,0.333333,0.830455,0.500000,0.918495,0.476190,0.735057
18,0.735509,0.798139,0.785674,0.810604,1.131600,0.803273,0.792988,0.813558,0.837856,0.796443,0.940299,0.848485,0.791339,0.868421,0.825581,0.872549,0.817844,0.521739,0.695286,1.000000,0.892739,0.913043,0.627229,0.876923,0.855652,0.428571,0.842022,0.882353,0.738363,0.600000,0.875591,0.909091,0.845787,0.722222,0.593310,1.000000,0.841772,0.000000,0.869906,1.000000,0.817610,0.576923,0.552117,0.904762,0.869144,0.000000,0.971698,0.800000,0.903937,1.000000,0.829154,1.000000,0.861199,0.928571,0.865815,0.454545,0.804452,1.000000,0.842520,0.500000,0.755521,0.333333,0.824176,0.500000,0.949843,0.380952,0.751212
19,0.727288,0.799414,0.782330,0.816498,1.116753,0.799591,0.777963,0.821219,0.839238,0.764822,0.962687,0.848485,0.805118,0.868421,0.832226,0.862745,0.825279,0.543478,0.690236,1.000000,0.899340,0.913043,0.661264,0.846154,0.859130,0.428571,0.824645,0.882353,0.746388,0.600000,0.858268,0.818182,0.836248,0.722222,0.591549,1.000000,0.882911,0.000000,0.887147,1.000000,0.852201,0.500000,0.661238,0.904762,0.857835,0.000000,0.963836,1.000000,0.888189,1.000000,0.838558,1.000000,0.864353,0.928571,0.853035,0.454545,0.813990,1.000000,0.834646,0.666667,0.741325,0.333333,0.843014,0.500000,0.948276,0.428571,0.764136
