Model,AUC,F1max,F1max_Threshold,F1max_Precision,F1max_Recall,Spec80_onTest_Threshold,Spec80_onTest_Specificity,Spec80_onTest_Sensitivity,Spec80_onTest_Precision,Spec80_onTest_Recall,Spec80_onTest_Accuracy,Spec80_onTest_Balanced_Accuracy,Spec80_onTest_TP,Spec80_onTest_TN,Spec80_onTest_FP,Spec80_onTest_FN,ODIR_calib_thr_Threshold,ODIR_calib_thr_Specificity,ODIR_calib_thr_Sensitivity,ODIR_calib_thr_Precision,ODIR_calib_thr_Recall,ODIR_calib_thr_Accuracy,ODIR_calib_thr_Balanced_Accuracy,ODIR_calib_thr_TP,ODIR_calib_thr_TN,ODIR_calib_thr_FP,ODIR_calib_thr_FN,Patient_AUC,Patient_Spec80_Threshold,Patient_Specificity@Spec80,Patient_Sensitivity@Spec80,Patient_TP,Patient_TN,Patient_FP,Patient_FN
SwinTiny,0.6460269679719395,0.8009432902977116,0.0023617304395884275,0.6684558955090356,0.9989304812834224,0.948039174079895,0.8005376344042983,0.4114973262021083,0.8057591622994463,0.4114973262021083,0.5407142857133201,0.6060174803032032,1539,1489,371,2201,0.9426925182342529,0.7924731182753093,0.42112299465128045,0.8031616522141604,0.42112299465128045,0.5444642857133135,0.6067980564632949,1575,1474,386,2165,0.6785854752458168,0.9716414213180542,0.7989247311827957,0.46524064171123,870,743,187,1000
ViTSmall,0.6337141337473406,0.8009422802393449,0.015570340678095818,0.6679764243614931,1.0,0.8580217957496643,0.7999999999956989,0.37647058823428753,0.7910112359506123,0.37647058823428753,0.5171428571419336,0.5882352941149932,1408,1488,372,2332,0.8354028463363647,0.7930107526839086,0.39438502673691345,0.7930107526839086,0.39438502673691345,0.5267857142847736,0.593697889710411,1475,1475,385,2265,0.6609453165430395,0.9408097863197327,0.8,0.3951871657754011,739,744,186,1131
DeiTSmall,0.6178760565809902,0.801286858466511,0.006915470119565725,0.6689346463742166,0.9989304812834224,0.8999895453453064,0.7999999999956989,0.3409090909081794,0.774134790523533,0.3409090909081794,0.4933928571419761,0.5704545454519392,1275,1488,372,2465,0.8693110346794128,0.7801075268775264,0.37807486630914955,0.7756445419595412,0.37807486630914955,0.5116071428562293,0.579091196593338,1414,1451,409,2326,0.6431726180208153,0.9455623030662537,0.8010752688172043,0.35775401069518714,669,745,185,1201
CrossViTSmall,0.6400950204128573,0.8008565262475412,0.005564043764024973,0.6678571428571428,1.0,0.8540597558021545,0.8005376344042983,0.3999999999989305,0.801285484730577,0.3999999999989305,0.5330357142847625,0.6002688172016144,1496,1489,371,2244,0.8366180658340454,0.7865591397807175,0.413368983956114,0.7956767884673409,0.413368983956114,0.537321428570469,0.5999640618684157,1546,1463,397,2194,0.6704600080501408,0.9148802161216736,0.7989247311827957,0.4374331550802139,818,743,187,1052
