Model,Loss,Balanced_Accuracy,Sensitivity,Specificity,AUC,Micro_AUC,Macro_F1,Micro_F1,Precision,Recall,F1max,Best_Val_AUC,TP,TN,FP,FN
SwinTiny,1.5929191605187953,0.8908642197902599,0.8902127651998188,0.8915156743807008,0.910898835599336,0.9702151646993311,0.3049856121393097,0.5093742391039688,0.3567530695758637,0.8902127659498706,0.7429305862598752,0.921441,1046,15499,1886,129
ViTSmall,1.2138803854584694,0.8601724397860322,0.8408510631141692,0.879493816457895,0.8943630407653235,0.9504068927113738,0.2936638428387162,0.46406763738844525,0.3204670775208548,0.8408510638226311,0.6366047695433765,0.889372,988,15290,2095,187
DeiTSmall,1.4988843583501876,0.8713454367962026,0.8638297864988682,0.8788610870935368,0.9056115981011478,0.9636148061118963,0.3024179117960287,0.4725325884543762,0.32521627683330595,0.8638297872266909,0.6931567278988738,0.880476,1015,15279,2106,160
CrossViTSmall,1.3552304507233202,0.8677386346491054,0.865531914156994,0.8699453551412168,0.9105674561324505,0.9631283020946155,0.2763559155809588,0.4567707163709859,0.3102501525310853,0.8655319148862509,0.6760439510493903,0.89884,1017,15124,2261,158
