Metric,Value
AUC (%),89.3797
Threshold@0.80spec,0.792207
Precision@Thr,96.4467
Recall@Thr (%),75.0988
TP,380
TN,120
FP,14
FN,126
F1max,0.909266
F1max_Threshold,0.677525
F1max_Precision,88.8679
F1max_Recall (%),93.0830
