epoch,train_loss,train_bal_acc,train_sens,train_spec,val_loss,val_bal_acc,val_sens,val_spec,val_auc,val_sens_Disease_Risk,val_spec_Disease_Risk,val_sens_DR,val_spec_DR,val_sens_ARMD,val_spec_ARMD,val_sens_MH,val_spec_MH,val_sens_DN,val_spec_DN,val_sens_MYA,val_spec_MYA,val_sens_BRVO,val_spec_BRVO,val_sens_TSLN,val_spec_TSLN,val_sens_ERM,val_spec_ERM,val_sens_LS,val_spec_LS,val_sens_MS,val_spec_MS,val_sens_CSR,val_spec_CSR,val_sens_ODC,val_spec_ODC,val_sens_CRVO,val_spec_CRVO,val_sens_TV,val_spec_TV,val_sens_AH,val_spec_AH,val_sens_ODP,val_spec_ODP,val_sens_ODE,val_spec_ODE,val_sens_ST,val_spec_ST,val_sens_AION,val_spec_AION,val_sens_PT,val_spec_PT,val_sens_RT,val_spec_RT,val_sens_RS,val_spec_RS,val_sens_CRS,val_spec_CRS,val_sens_EDN,val_spec_EDN,val_sens_RPEC,val_spec_RPEC,val_sens_MHL,val_spec_MHL,val_sens_RP,val_spec_RP,val_sens_CWS,val_spec_CWS,val_sens_CB,val_spec_CB,val_sens_ODPM,val_spec_ODPM,val_sens_PRH,val_spec_PRH,val_sens_MNF,val_spec_MNF,val_sens_HR,val_spec_HR,val_sens_CRAO,val_spec_CRAO,val_sens_TD,val_spec_TD,val_sens_CME,val_spec_CME,val_sens_PTCR,val_spec_PTCR,val_sens_CF,val_spec_CF,val_sens_VH,val_spec_VH,val_sens_MCA,val_spec_MCA,val_sens_VS,val_spec_VS,val_sens_BRAO,val_spec_BRAO,val_sens_PLQ,val_spec_PLQ,val_sens_HPED,val_spec_HPED,val_sens_CL,val_spec_CL
10,0.067744,0.784036,0.571996,0.996077,0.067482,0.625526,0.258109,0.992943,nan,0.873325,0.531593,0.480258,0.948117,0.000000,1.000000,0.426994,0.964985,0.000000,1.000000,0.165774,0.971458,0.000000,1.000000,0.142083,0.975994,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.040278,0.984867,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000
11,0.065630,0.787244,0.578494,0.995995,0.067273,0.620283,0.245994,0.994573,nan,0.828918,0.580243,0.494008,0.947916,0.027083,1.000000,0.335298,0.985833,0.000000,1.000000,0.124702,0.981042,0.000000,1.000000,0.176667,0.972869,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.061111,0.983826,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000
12,0.063956,0.793248,0.590214,0.996282,0.065688,0.637396,0.282828,0.991964,nan,0.901044,0.479830,0.461924,0.958098,0.000000,1.000000,0.445565,0.968333,0.000000,1.000000,0.165774,0.974062,0.000000,1.000000,0.150833,0.980785,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.103472,0.970671,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000
13,0.061814,0.802683,0.609347,0.996019,0.065572,0.631286,0.268357,0.994216,nan,0.828557,0.573993,0.501468,0.954452,0.079167,1.000000,0.390744,0.982708,0.000000,1.000000,0.133631,0.977708,0.000000,1.000000,0.201667,0.971306,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.090972,0.975325,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000
14,0.058697,0.811641,0.626663,0.996619,0.064510,0.644312,0.295772,0.992852,nan,0.853162,0.525503,0.469424,0.956118,0.091667,0.998077,0.401994,0.984271,0.000000,1.000000,0.133631,0.979271,0.000000,1.000000,0.255238,0.970945,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.136250,0.958595,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.045833,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.012500,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000
15,0.057984,0.812901,0.629477,0.996324,0.063307,0.645970,0.299719,0.992221,nan,0.851927,0.496016,0.511329,0.953533,0.133333,0.996514,0.403065,0.978021,0.000000,1.000000,0.137202,0.980937,0.000000,1.000000,0.205238,0.972869,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.127222,0.967442,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.104167,0.998437,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.012500,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000
16,0.056313,0.817232,0.638139,0.996325,0.063211,0.654501,0.316357,0.992646,nan,0.859070,0.524588,0.513413,0.956952,0.151042,0.991604,0.456815,0.972396,0.000000,1.000000,0.238095,0.976146,0.000000,0.996875,0.193333,0.979223,0.000000,1.000000,0.000000,0.998214,0.000000,1.000000,0.000000,1.000000,0.114722,0.968900,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.095833,0.998437,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.027778,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000
17,0.055284,0.822741,0.649348,0.996134,0.063257,0.655343,0.317577,0.993109,nan,0.830894,0.554041,0.491885,0.962320,0.155208,0.989104,0.445565,0.970833,0.000000,1.000000,0.258333,0.972500,0.012500,0.996875,0.160000,0.982348,0.000000,1.000000,0.000000,0.998214,0.000000,1.000000,0.000000,1.000000,0.136250,0.960262,0.025000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.095833,0.998437,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.027778,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000
18,0.053428,0.825246,0.653919,0.996573,0.063571,0.655943,0.319776,0.992109,nan,0.836696,0.514457,0.509940,0.942027,0.142708,0.989104,0.435565,0.975521,0.000000,1.000000,0.184524,0.980833,0.012500,0.996875,0.259405,0.972508,0.000000,1.000000,0.000000,0.998214,0.000000,1.000000,0.000000,1.000000,0.105694,0.972609,0.025000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.137500,0.996652,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.027778,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000
19,0.052502,0.829281,0.662082,0.996479,0.062912,0.661236,0.331215,0.991258,nan,0.851436,0.472504,0.525357,0.941711,0.136458,0.993166,0.410565,0.976562,0.000000,1.000000,0.258333,0.977708,0.050000,0.998437,0.230833,0.978862,0.000000,1.000000,0.000000,0.998214,0.000000,1.000000,0.000000,1.000000,0.124444,0.964123,0.025000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.104167,0.998437,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.027778,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000
20,0.051345,0.833537,0.670516,0.996559,0.063869,0.671980,0.353774,0.990186,nan,0.871881,0.482635,0.515218,0.929591,0.197917,0.974193,0.402440,0.973958,0.000000,1.000000,0.184524,0.977708,0.050000,0.998437,0.271309,0.974070,0.000000,1.000000,0.000000,0.998214,0.000000,1.000000,0.000000,1.000000,0.204305,0.948721,0.025000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.125000,0.995089,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.030556,0.998214,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000
