Metric,Value
AUC (%),85.8179
Threshold@0.80spec,0.706753
Precision@Thr,94.2928
Recall@Thr (%),75.0988
TP,380
TN,111
FP,23
FN,126
F1max,0.892086
F1max_Threshold,0.526641
F1max_Precision,81.8482
F1max_Recall (%),98.0237
