metric,value
auc(%),48.0453
threshold_rfmid_dr,0.252637
threshold_used,0.453714
threshold_type,rfmid
sensitivity,0.620370
specificity,0.364444
precision,0.319048
recall,0.620370
f1,0.421384
accuracy,0.447447
balanced_accuracy,0.492407
tp,67
tn,82
fp,143
fn,41
f1max,0.492027
f1max_threshold,0.388396
f1max_precision,0.326284
f1max_recall,1.000000
