Metric,Value
AUC (%),94.5962
Threshold@0.80spec,0.768009
Precision@Thr,96.0084
Recall@Thr (%),90.3162
TP,457
TN,115
FP,19
FN,49
F1max,0.933852
F1max_Threshold,0.562807
F1max_Precision,91.9540
F1max_Recall (%),94.8617
