metric,value
auc(%),47.3251
threshold_rfmid_dr,0.494126
threshold_used,0.421070
threshold_type,rfmid
sensitivity,0.981481
specificity,0.008889
precision,0.322188
recall,0.981481
f1,0.485126
accuracy,0.324324
balanced_accuracy,0.495185
tp,106
tn,2
fp,223
fn,2
f1max,0.490909
f1max_threshold,0.411504
f1max_precision,0.325301
f1max_recall,1.000000
