Metric,Value
AUC (%),40.3550
Threshold,0.114823
Precision@Thr,41.1184
Recall@Thr (%),86.2069
Sensitivity,0.862069
Specificity,0.122549
Balanced_Accuracy,0.492309
Accuracy,0.429799
TP,125
TN,25
FP,179
FN,20
F1max,0.591837
F1max_Threshold,0.085668
F1max_Precision,42.0290
F1max_Recall (%),100.0000
