metric,value
auc(%),40.3550
threshold_rfmid_dr,0.381923
threshold_used,0.114823
threshold_type,rfmid
sensitivity,0.862069
specificity,0.122549
precision,0.411184
recall,0.862069
f1,0.556793
accuracy,0.429799
balanced_accuracy,0.492309
tp,125
tn,25
fp,179
fn,20
f1max,0.591837
f1max_threshold,0.085668
f1max_precision,0.420290
f1max_recall,1.000000
