Metric,Value
AUC (%),95.4236
Threshold@0.80spec,0.691438
Precision@Thr,97.9638
Recall@Thr (%),85.5731
TP,433
TN,125
FP,9
FN,73
F1max,0.946746
F1max_Threshold,0.575756
F1max_Precision,94.4882
F1max_Recall (%),94.8617
