epoch,train_loss,train_bal_acc,train_sens,train_spec,val_loss,val_bal_acc,val_sens,val_spec,val_auc,val_sens_Disease_Risk,val_spec_Disease_Risk,val_sens_DR,val_spec_DR,val_sens_ARMD,val_spec_ARMD,val_sens_MH,val_spec_MH,val_sens_DN,val_spec_DN,val_sens_MYA,val_spec_MYA,val_sens_BRVO,val_spec_BRVO,val_sens_TSLN,val_spec_TSLN,val_sens_ERM,val_spec_ERM,val_sens_LS,val_spec_LS,val_sens_MS,val_spec_MS,val_sens_CSR,val_spec_CSR,val_sens_ODC,val_spec_ODC,val_sens_CRVO,val_spec_CRVO,val_sens_TV,val_spec_TV,val_sens_AH,val_spec_AH,val_sens_ODP,val_spec_ODP,val_sens_ODE,val_spec_ODE,val_sens_ST,val_spec_ST,val_sens_AION,val_spec_AION,val_sens_PT,val_spec_PT,val_sens_RT,val_spec_RT,val_sens_RS,val_spec_RS,val_sens_CRS,val_spec_CRS,val_sens_EDN,val_spec_EDN,val_sens_RPEC,val_spec_RPEC,val_sens_MHL,val_spec_MHL,val_sens_RP,val_spec_RP,val_sens_OTHER,val_spec_OTHER
10,0.915547,0.757987,0.752230,0.763745,1.043988,0.764085,0.766277,0.761894,0.824792,0.749012,0.917910,0.810606,0.775591,0.842105,0.687708,0.882353,0.799257,0.586957,0.622896,1.000000,0.768977,0.869565,0.617504,0.892308,0.678261,0.428571,0.810427,0.470588,0.805778,0.400000,0.812598,0.909091,0.801272,0.680556,0.503521,0.750000,0.792722,1.000000,0.786834,0.750000,0.794025,0.769231,0.436482,0.857143,0.873990,0.000000,0.833333,0.800000,0.911811,1.000000,0.800940,0.833333,0.832808,0.928571,0.884984,0.727273,0.756757,0.800000,0.774803,0.666667,0.604101,0.333333,0.930926,0.500000,0.838558,0.380952,0.712439
11,0.872580,0.762631,0.756968,0.768295,1.024095,0.775793,0.762104,0.789483,0.835315,0.754941,0.910448,0.818182,0.793307,0.842105,0.702658,0.911765,0.778810,0.456522,0.737374,1.000000,0.798680,0.826087,0.693679,0.861538,0.742609,0.428571,0.823065,0.470588,0.784912,0.400000,0.803150,1.000000,0.794913,0.722222,0.510563,0.750000,0.835443,1.000000,0.771160,1.000000,0.842767,0.500000,0.622150,0.857143,0.883683,0.000000,0.834906,0.800000,0.908661,1.000000,0.815047,0.833333,0.853312,0.928571,0.888179,0.636364,0.767886,0.800000,0.806299,0.833333,0.645110,0.666666,0.882261,0.000000,0.901254,0.333333,0.810985
12,0.842253,0.769759,0.758361,0.781156,1.015725,0.778097,0.760434,0.795761,0.841569,0.741107,0.925373,0.803030,0.805118,0.815789,0.717608,0.911765,0.782528,0.565217,0.693603,1.000000,0.810231,0.826087,0.670989,0.846154,0.789565,0.428571,0.774092,0.529412,0.794543,0.400000,0.844094,1.000000,0.801272,0.694444,0.540493,0.875000,0.825949,1.000000,0.846395,1.000000,0.808176,0.500000,0.623779,0.952381,0.856220,0.000000,0.863208,0.800000,0.921260,1.000000,0.829154,0.833333,0.906940,0.928571,0.869010,0.636364,0.766296,1.000000,0.796850,0.666667,0.703470,1.000000,0.846154,0.000000,0.899687,0.380952,0.822294
13,0.796913,0.790009,0.777035,0.802983,1.014787,0.786878,0.772120,0.801636,0.845099,0.758893,0.925373,0.787879,0.846457,0.894737,0.669435,0.882353,0.821561,0.565217,0.695286,1.000000,0.838284,0.826087,0.722853,0.876923,0.794783,0.571428,0.819905,0.411765,0.825040,0.400000,0.779528,1.000000,0.794913,0.722222,0.510563,1.000000,0.814873,1.000000,0.898119,1.000000,0.819182,0.615385,0.605863,0.952381,0.885299,0.000000,0.867925,1.000000,0.892913,1.000000,0.818182,1.000000,0.848580,0.928571,0.859425,0.636364,0.783784,1.000000,0.800000,0.666667,0.722397,0.333333,0.912088,0.000000,0.916928,0.380952,0.817447
14,0.756264,0.793128,0.783445,0.802810,1.045621,0.798587,0.764608,0.832565,0.849026,0.743083,0.955224,0.825758,0.828740,0.842105,0.772425,0.872549,0.834572,0.652174,0.643098,1.000000,0.849835,0.913043,0.664506,0.815385,0.833043,0.428571,0.873618,0.411765,0.839486,0.400000,0.858268,1.000000,0.837838,0.708333,0.540493,1.000000,0.848101,1.000000,0.912226,1.000000,0.872642,0.576923,0.646580,0.904762,0.922456,0.000000,0.926101,0.800000,0.948031,1.000000,0.772727,1.000000,0.906940,0.928571,0.910543,0.636364,0.848967,1.000000,0.861417,0.666667,0.711356,0.333333,0.949765,0.000000,0.951411,0.380952,0.867528
15,0.721208,0.804609,0.786789,0.822430,1.016855,0.795535,0.759599,0.831471,0.855322,0.743083,0.932836,0.787879,0.848425,0.868421,0.782392,0.872549,0.851301,0.652174,0.656566,1.000000,0.882838,0.782609,0.771475,0.846154,0.824348,0.428571,0.848341,0.411765,0.850722,0.400000,0.870866,1.000000,0.785374,0.680556,0.565141,1.000000,0.893987,1.000000,0.901254,0.750000,0.905660,0.576923,0.628664,0.904762,0.911147,0.000000,0.911950,0.800000,0.933858,1.000000,0.858934,1.000000,0.910095,0.928571,0.880192,0.636364,0.764706,1.000000,0.820472,0.666667,0.705047,1.000000,0.857143,0.000000,0.957680,0.380952,0.840065
16,0.693339,0.806678,0.786511,0.826845,1.038036,0.791234,0.743740,0.838728,0.857300,0.713439,0.970149,0.848485,0.852362,0.894737,0.782392,0.843137,0.858736,0.608696,0.646465,1.000000,0.886139,0.782609,0.769854,0.815385,0.876522,0.571428,0.827804,0.470588,0.847512,0.400000,0.851969,1.000000,0.802862,0.652778,0.614437,1.000000,0.873418,0.500000,0.926332,1.000000,0.907233,0.384615,0.768730,0.857143,0.932149,0.000000,0.962264,0.800000,0.952756,1.000000,0.782132,1.000000,0.913249,0.928571,0.881789,0.636364,0.782194,1.000000,0.785827,0.666667,0.714511,1.000000,0.874411,0.000000,0.931034,0.380952,0.820679
17,0.672267,0.813929,0.786232,0.841626,1.014133,0.806545,0.780467,0.832623,0.861494,0.756917,0.932836,0.825758,0.856299,0.894737,0.797342,0.892157,0.842007,0.652174,0.718855,1.000000,0.869637,0.869565,0.735818,0.876923,0.845217,0.571428,0.853081,0.529412,0.852327,0.600000,0.850394,1.000000,0.817170,0.652778,0.577465,1.000000,0.900316,0.500000,0.899687,1.000000,0.907233,0.538462,0.628664,0.952381,0.878837,0.000000,0.921384,0.800000,0.911811,1.000000,0.855799,1.000000,0.905363,0.928571,0.873802,0.636364,0.815580,1.000000,0.864567,0.833333,0.705047,1.000000,0.863422,0.000000,0.965517,0.523809,0.741519
18,0.626715,0.819897,0.805463,0.834332,1.050061,0.808779,0.771285,0.846273,0.863897,0.750988,0.932836,0.810606,0.868110,0.868421,0.820598,0.862745,0.862454,0.717391,0.641414,1.000000,0.879538,0.869565,0.760130,0.830769,0.860870,0.857143,0.804107,0.529412,0.879615,0.600000,0.881890,1.000000,0.820350,0.722222,0.519366,1.000000,0.928797,0.000000,0.913793,1.000000,0.924528,0.461538,0.667752,0.857143,0.935380,0.000000,0.935535,0.800000,0.954331,1.000000,0.829154,1.000000,0.933754,0.928571,0.905751,0.636364,0.821940,1.000000,0.823622,0.833333,0.714511,0.666666,0.951334,0.000000,0.959248,0.380952,0.833603
19,0.619375,0.825307,0.800446,0.850169,1.097753,0.817505,0.771285,0.863725,0.865601,0.750988,0.932836,0.833333,0.868110,0.815789,0.868771,0.911765,0.830855,0.565217,0.764310,1.000000,0.869637,0.869565,0.760130,0.846154,0.840000,0.285714,0.917851,0.647059,0.845907,0.400000,0.937008,1.000000,0.860095,0.708333,0.544014,1.000000,0.917722,0.000000,0.943574,1.000000,0.904088,0.692308,0.599349,0.857143,0.917609,0.000000,0.959119,0.800000,0.913386,1.000000,0.871473,1.000000,0.933754,0.928571,0.923323,0.636364,0.847377,1.000000,0.883465,0.666667,0.832808,0.666666,0.946625,0.000000,0.973354,0.333333,0.838449
20,0.584320,0.829564,0.808250,0.850879,1.079931,0.820069,0.767947,0.872192,0.867659,0.762846,0.932836,0.833333,0.860236,0.842105,0.838870,0.911765,0.849442,0.608696,0.744108,1.000000,0.876238,0.739130,0.847650,0.830769,0.859130,0.428571,0.875197,0.647059,0.878010,0.600000,0.896063,1.000000,0.877583,0.722222,0.512324,1.000000,0.928797,0.000000,0.918495,1.000000,0.943396,0.307692,0.817590,0.809524,0.943457,0.000000,0.960692,0.800000,0.951181,1.000000,0.880878,1.000000,0.924290,0.928571,0.908946,0.636364,0.828299,1.000000,0.859843,0.666667,0.799685,1.000000,0.934066,0.000000,0.948276,0.238095,0.890145
