metric,value
auc(%),64.3580
threshold_rfmid_dr,0.260115
threshold_used,0.387012
threshold_type,rfmid
sensitivity,0.407407
specificity,0.795556
precision,0.488889
recall,0.407407
f1,0.444444
accuracy,0.669670
balanced_accuracy,0.601481
tp,44
tn,179
fp,46
fn,64
f1max,0.530201
f1max_threshold,0.345197
f1max_precision,0.415789
f1max_recall,0.731481
