Metric,Value
AUC (%),77.6146
threshold_used,0.387012
threshold_type,rfmid
threshold_rfmid_dr,0.260115
Precision@Thr,36.6667
Recall@Thr (%),62.2642
Sensitivity,0.622642
Specificity,0.796429
Balanced_Accuracy,0.709535
Accuracy,0.768769
TP,33
TN,223
FP,57
FN,20
F1max,0.476923
F1max_Threshold,0.399292
F1max_Precision,40.2597
F1max_Recall (%),58.4906
